,Major_x,Final_Grade_f,Total_Points_f,Exam_1_f,Exam_1_Scaled_f,HW_1_f,Quiz_1_f,Exam_2_f,Exam_2_Scaled_f,hw_f,Exam_3_f,Exam_3_Scaled_f,Final_Exam_Raw_f,Final_Exam_Scaled_f,Final_Grade_s,Total_Points_s,Exam_1_s,Extra_Credit_s,Exam_2_s,Exam_3_s,Exam_3_Scaled_s,Avg_of_3_exams_s,Total_Exam_Score_s,Replace_lowest_with_avg_s,Final_Exam_Raw_s,Final_Exam_Scaled_s
0,Sci/Phy/Ugrad/FA - Electrical Engineering,F ,516.0,20.0,100.0,2.0,4.0,34,62.0,4.0,43.0,86.0,,22.8571428571,,,,,,,,,,,,
1,Sci/Phy/Ugrad/FA - Electrical Engineering,C,738.0,29.0,136.0,2.0,1.0,27,49.0,,65.0,130.0,22.0,148.5714285714,D-,565.0,110.0,,155.0,97.0,121.25,129.0,405.0,445.0,8.0,120.0
2,,,,,,,,,,,,,,,D ,642.0,84.0,13.0,157.0,101.0,126.25,122.0,406.0,459.0,13.0,170.0
3,Sci/Life/Ugrad/FA - Biology,A-,907.0,41.0,184.0,5.0,4.0,92,167.0,10.0,88.0,176.0,20.0,137.1428571429,C-,698.0,154.0,,148.0,146.0,182.5,162.0,498.0,538.0,12.0,160.0
4,Sci/Phy/Ugrad/FA - Geosciences - BS/Theatre,B-,802.0,24.0,116.0,2.0,5.0,65,118.0,6.0,86.0,172.0,22.0,148.5714285714,,,,,,,,,,,,
5,Sci/Life/Ugrad/FA - Biology,,265.0,,20.0,,,,0.0,,,0.0,,22.8571428571,,,,,,,,,,,,
6,,,,,,,,,,,,,,,D+,658.0,163.0,4.0,153.0,116.0,145.0,154.0,470.0,514.0,10.0,140.0
7,Undeclared/Ugrad/FA - Undeclared,,380.0,21.0,104.0,2.0,1.0,,0.0,,,0.0,,22.8571428571,,,,,,,,,,,,
8,Sci/Phy/Ugrad/FA - Biochemistry,D,659.0,21.0,104.0,3.0,3.0,55,100.0,11.0,55.0,110.0,15.0,108.57142857139999,,,,,,,,,,,,
9,NonDeg/Ugrad/NonFA - Non Degree - Undergraduate,A,992.0,43.0,192.0,,6.0,85,155.0,,103.0,206.0,29.0,188.5714285714,,,,,,,,,,,,
